,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
183,2021-09-28,Yes,2021-09-28,6082,2021,9,2021-09,2021-09-28 to 2021-10-04
184,2021-10-05,No,2021-10-05,182303,2021,10,2021-10,2021-10-05 to 2021-10-11
185,2021-10-05,Yes,2021-10-05,5873,2021,10,2021-10,2021-10-05 to 2021-10-11
186,2021-10-12,No,2021-10-12,148672,2021,10,2021-10,2021-10-12 to 2021-10-18
187,2021-10-12,Yes,2021-10-12,5179,2021,10,2021-10,2021-10-12 to 2021-10-18
188,2021-10-19,No,2021-10-19,144947,2021,10,2021-10,2021-10-19 to 2021-10-25
189,2021-10-19,Yes,2021-10-19,4932,2021,10,2021-10,2021-10-19 to 2021-10-25
190,2021-10-26,No,2021-10-26,141408,2021,10,2021-10,2021-10-26 to 2021-11-01
191,2021-10-26,Yes,2021-10-26,4789,2021,10,2021-10,2021-10-26 to 2021-11-01
192,2021-11-02,No,2021-11-02,157805,2021,11,2021-11,2021-11-02 to 2021-11-08
193,2021-11-02,Yes,2021-11-02,5075,2021,11,2021-11,2021-11-02 to 2021-11-08
194,2021-11-09,No,2021-11-09,179556,2021,11,2021-11,2021-11-09 to 2021-11-15
195,2021-11-09,Yes,2021-11-09,5979,2021,11,2021-11,2021-11-09 to 2021-11-15
196,2021-11-16,No,2021-11-16,186013,2021,11,2021-11,2021-11-16 to 2021-11-22
197,2021-11-16,Yes,2021-11-16,6735,2021,11,2021-11,2021-11-16 to 2021-11-22
198,2021-11-23,No,2021-11-23,198567,2021,11,2021-11,2021-11-23 to 2021-11-29
199,2021-11-23,Yes,2021-11-23,7190,2021,11,2021-11,2021-11-23 to 2021-11-29
200,2021-11-30,No,2021-11-30,246734,2021,11,2021-11,2021-11-30 to 2021-12-06
201,2021-11-30,Yes,2021-11-30,8596,2021,11,2021-11,2021-11-30 to 2021-12-06
202,2021-12-07,No,2021-12-07,237955,2021,12,2021-12,2021-12-07 to 2021-12-13
203,2021-12-07,Yes,2021-12-07,8021,2021,12,2021-12,2021-12-07 to 2021-12-13
